"日付け","終値","始値","高値","安値","出来高","前日比%"
"2018年07月31日","372.25","367.00","374.25","366.25","141.81K","1.36%"
"2018年07月30日","367.25","364.00","369.25","363.50","127.46K","1.45%"
"2018年07月27日","362.00","361.00","363.75","359.50","133.49K","0.14%"
"2018年07月26日","361.50","361.00","365.75","360.25","146.38K","0.63%"
"2018年07月25日","359.25","352.25","360.00","352.00","121.59K","2.06%"
"2018年07月24日","352.00","355.25","356.50","351.50","105.61K","-1.47%"
"2018年07月23日","357.25","356.00","358.50","354.50","75.40K","0.78%"
"2018年07月22日","354.50","354.50","354.50","354.50","-","-0.21%"
"2018年07月20日","355.25","351.25","355.75","349.75","69.61K","1.14%"
"2018年07月19日","351.25","347.00","352.00","345.00","81.41K","1.15%"
"2018年07月18日","347.25","346.25","349.00","346.00","81.87K","0.29%"
"2018年07月17日","346.25","345.00","348.75","344.25","100.12K","1.32%"
"2018年07月16日","341.75","340.00","345.75","338.75","95.29K","3.48%"
"2018年07月13日","330.25","332.25","332.50","332.25","0.27K","-1.86%"
"2018年07月12日","336.50","332.25","340.75","329.75","0.53K","1.58%"
"2018年07月11日","331.25","336.00","337.00","331.50","1.53K","-2.50%"
"2018年07月10日","339.75","344.25","344.75","336.25","2.74K","-1.74%"
"2018年07月09日","345.75","346.00","348.50","342.50","3.26K","-1.71%"
"2018年07月06日","351.75","342.00","352.25","342.00","3.07K","2.40%"
"2018年07月05日","343.50","345.50","348.75","341.50","3.30K","0.22%"
"2018年07月03日","342.75","340.25","345.25","339.25","3.05K","1.56%"
"2018年07月02日","337.50","352.25","352.25","337.00","7.67K","-3.64%"
"2018年06月29日","350.25","345.75","355.50","345.50","19.39K","1.52%"
"2018年06月28日","345.00","351.50","352.50","344.50","143.97K","-2.13%"
"2018年06月27日","352.50","352.00","356.50","351.50","163.32K","0.00%"
"2018年06月26日","352.50","350.50","355.50","348.00","227.15K","0.57%"
"2018年06月25日","350.50","358.50","359.50","349.25","203.16K","-1.89%"
"2018年06月22日","357.25","358.00","359.75","355.00","141.68K","0.07%"
"2018年06月21日","357.00","354.25","359.00","349.25","168.57K","0.78%"
"2018年06月20日","354.25","354.00","357.00","347.50","200.17K","0.14%"
"2018年06月19日","353.75","355.75","357.75","338.75","334.34K","-0.63%"
"2018年06月18日","356.00","359.50","362.00","354.00","177.75K","-1.45%"
"2018年06月15日","361.25","364.50","368.25","355.25","297.48K","-0.48%"
"2018年06月14日","363.00","374.00","374.75","362.50","357.60K","-3.46%"
"2018年06月13日","376.00","377.50","379.75","373.25","227.65K","-0.40%"
"2018年06月12日","377.50","368.00","379.50","367.25","310.11K","2.79%"
"2018年06月11日","367.25","376.50","379.00","366.75","294.91K","-2.78%"
"2018年06月08日","377.75","376.25","379.00","373.50","177.41K","0.40%"
