Date,Open,High,Low,Adj Close*
2014/10/3,15570,15975,15560,15910
2014/10/6,15920,15980,15755,15780
2014/10/7,15775,15925,15490,15520
2014/10/8,15505,15730,15460,15695
2014/10/9,15705,15745,15215,15305
2014/10/10,15250,15400,15030,15065
2014/10/13,15040,15160,14810,14835
2014/10/14,14840,15120,14800,14935
2014/10/15,14965,15100,14480,14670
2014/10/16,14660,14815,14370,14690
2014/10/17,14695,14895,14515,14880
2014/10/20,14890,15165,14890,15115
2014/10/21,15170,15180,14755,15080
2014/10/22,15090,15275,14995,15110
2014/10/23,15110,15465,15060,15365
2014/10/24,15360,15440,15235,15435
2014/10/27,15435,15445,15255,15315
2014/10/28,15345,15440,15265,15430
2014/10/29,15415,15685,15395,15670
2014/10/30,15650,15905,15570,15785
2014/10/31,15795,17040,15795,17025
2014/11/3,17050,17440,16935,17345
2014/11/4,17320,17320,16660,16945
2014/11/5,16865,17125,16775,17070
2014/11/6,17055,17095,16725,16945
2014/11/7,16955,16965,16675,16775
2014/11/10,16775,16960,16695,16920
2014/11/11,16925,17360,16860,17225
2014/11/12,17335,17460,17045,17255
2014/11/13,17240,17500,17110,17410
2014/11/14,17420,17525,17300,17485
2014/11/17,17485,17565,16880,17195
2014/11/18,17185,17450,17175,17420
2014/11/19,17420,17480,17290,17440
2014/11/20,17435,17465,17120,17250
2014/11/21,17255,17545,17105,17400
2014/11/24,17440,17580,17305,17480
2014/11/25,17495,17535,17330,17405
2014/11/26,17400,17445,17310,17340
2014/11/28,17330,17510,17180,17460
2014/12/1,17465,17655,17380,17535
2014/12/2,17525,17825,17445,17780
2014/12/3,17780,17915,17690,17910
2014/12/4,17890,17915,17730,17860
2014/12/5,17865,18105,17765,18045
2014/12/8,18075,18085,17690,17745
2014/12/9,17750,17900,17315,17620
2014/12/10,17615,17635,17050,17165
2014/12/11,17140,17545,17040,17285
2014/12/12,17260,17535,17125,17135
2014/12/15,17155,17260,16615,16705
2014/12/16,16730,16890,16440,16560
2014/12/17,16560,17245,16545,17185
2014/12/18,17195,17580,17165,17540
2014/12/19,17545,17775,17465,17700
2014/12/22,17740,17780,17565,17770
2014/12/23,17780,17920,17710,17850
2014/12/24,17865,17875,17760,17825
2014/12/26,17760,17955,17735,17920
2014/12/29,17910,17965,17525,17740
2014/12/30,17745,17750,17200,17340
2014/12/31,17325,17415,17250,17310
2015/1/2,17295,17585,17295,17385
2015/1/5,17400,17555,17025,17090
2015/1/6,17080,17100,16545,16730
2015/1/7,16705,17170,16695,17010
2015/1/8,17020,17420,17005,17355
2015/1/9,17365,17400,16890,16915
2015/1/12,16915,17080,16740,16885
2015/1/13,16900,17225,16785,16940
2015/1/14,16935,17035,16530,16775
2015/1/15,16755,17190,16730,16800
2015/1/16,16775,17085,16545,17075
2015/1/20,17060,17485,16910,17390
2015/1/21,17410,17430,17080,17340
2015/1/22,17335,17590,17145,17560
2015/1/23,17545,17585,17340,17410
2015/1/26,17350,17705,17280,17665
2015/1/27,17665,17765,17485,17635
2015/1/28,17630,17875,17515,17525
2015/1/29,17560,17845,17555,17830
2015/1/30,17845,17860,17465,17500
2015/2/2,17495,17685,17420,17635
2015/2/3,17670,17670,17270,17570
2015/2/4,17570,17740,17525,17560
2015/2/5,17530,17740,17450,17730
2015/2/6,17705,17920,17605,17810
2015/2/9,17805,17820,17525,17580
2015/2/10,17595,17865,17540,17820
2015/2/11,17820,18080,17790,18010
2015/2/12,18015,18020,17700,17925
2015/2/13,17920,18100,17845,18055
2015/2/17,18035,18175,17895,18100
2015/2/18,18130,18340,18075,18250
2015/2/19,18235,18385,18215,18365
2015/2/20,18355,18540,18270,18525
2015/2/23,18495,18520,18405,18490
2015/2/24,18480,18700,18435,18660
2015/2/25,18665,18685,18550,18625
2015/2/26,18625,18920,18585,18870
2015/2/27,18860,18875,18715,18865
2015/3/2,18865,18985,18775,18935
2015/3/3,18930,18935,18655,18730
2015/3/4,18740,18750,18565,18695
2015/3/5,18710,18920,18655,18855
2015/3/6,18850,19090,18815,18860
2015/3/9,18875,18900,18700,18855
2015/3/10,18855,18920,18500,18540
2015/3/11,18525,18835,18510,18780
2015/3/12,18820,19230,18765,19195
2015/3/13,19125,19275,19035,19210
2015/3/16,19220,19395,19145,19330
2015/3/17,19315,19475,19280,19380
2015/3/18,19390,19530,19310,19395
2015/3/19,19410,19470,19225,19385
2015/3/20,19380,19605,19325,19575
2015/3/23,19570,19700,19525,19645
2015/3/24,19635,19730,19560,19615
2015/3/25,19615,19690,19415,19475
2015/3/26,19480,19535,19025,19310
2015/3/27,19325,19615,19095,19365
2015/3/30,19375,19635,19240,19590
2015/3/31,19600,19635,19185,19220
2015/4/1,19230,19280,18930,19185
2015/4/2,19200,19445,19125,19345
2015/4/3,19350,19550,19315,19345
2015/4/6,19340,19615,19255,19580
2015/4/7,19565,19865,19510,19780
2015/4/8,19750,19915,19710,19875
2015/4/9,19875,20095,19845,20085
2015/4/10,20055,20055,19860,20035
2015/4/13,20025,20030,19840,19865
2015/4/14,19850,19970,19790,19910
2015/4/15,19910,19935,19835,19860
2015/4/16,19860,19910,19765,19825
2015/4/17,19835,19835,19470,19570
2015/4/20,19570,19740,19500,19700
2015/4/21,19685,20075,19675,20005
2015/4/22,20015,20260,19980,20250
2015/4/23,20250,20275,20105,20165
2015/4/24,20160,20160,20015,20070
2015/4/27,20060,20165,19915,20060
2015/4/28,20060,20150,19930,19990
2015/4/29,19985,20000,19640,19805
2015/4/30,19805,19850,19330,19410
2015/5/1,19425,19760,19410,19715
2015/5/4,19660,19805,19600,19785
2015/5/5,19745,19795,19320,19365
2015/5/6,19360,19455,19170,19340
2015/5/7,19320,19465,19040,19380
2015/5/8,19360,19705,19300,19655
2015/5/11,19675,19690,19580,19595
2015/5/12,19605,19670,19460,19530
2015/5/13,19535,19855,19500,19635
2015/5/14,19650,19725,19470,19690
2015/5/15,19675,19865,19610,19795
2015/5/18,19775,20025,19745,20005
2015/5/19,20010,20195,19950,20145
2015/5/20,20140,20305,20120,20275
2015/5/21,20280,20330,20145,20245
